Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Protocol,Label
443,120000,8,7,5200,6100,6,BENIGN
80,85000,6,5,2100,4300,6,BENIGN
53,24000,2,2,120,260,17,BENIGN
22,340000,12,10,8200,7800,6,BENIGN
443,99000,5,6,3300,4100,6,BENIGN
8080,67000,4,4,1800,1600,6,BENIGN
443,130000,8,8,5400,5900,6,BENIGN
53,19000,2,1,90,180,17,BENIGN
21,410000,10,9,7600,6900,6,BENIGN
443,115000,7,7,4800,5200,6,BENIGN
4444,9800000,80,3,980000,120,6,Attack
6667,7500000,65,2,760000,90,6,Attack
3389,6200000,70,4,640000,300,6,Attack
